GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
VeloCite,fr.ufc.l3info.oprog,Abonne,14,5,0,0,9,3,8,2,8,2
VeloCite,fr.ufc.l3info.oprog,IncorrectNameException,4,0,0,0,2,0,1,0,1,0
